image_id	image_path	image_pt_path	graylevel	original_height	original_width	transcription	transcription_len
a01-000x-00	./data/lines/a01/a01-000x/a01-000x-00.png	./data/lines/a01/a01-000x/a01-000x-00.pt	182	148	1561	A|MOVE|to|stop|Mr.|Gaitskell|from|nominating	44
a01-000x-01	./data/lines/a01/a01-000x/a01-000x-01.png	./data/lines/a01/a01-000x/a01-000x-01.pt	181	148	1595	any|more|Labour|life|Peers|is|to|be|made|at|a	45
a01-000x-02	./data/lines/a01/a01-000x/a01-000x-02.png	./data/lines/a01/a01-000x/a01-000x-02.pt	181	140	1637	meeting|of|Labour|0M Ps|tomorrow|.|Mr.|Michael	46
a01-000x-03	./data/lines/a01/a01-000x/a01-000x-03.png	./data/lines/a01/a01-000x/a01-000x-03.pt	179	154	1584	Foot|has|put|down|a|resolution|on|the|subject	45
a01-000x-04	./data/lines/a01/a01-000x/a01-000x-04.png	./data/lines/a01/a01-000x/a01-000x-04.pt	173	148	1647	and|he|is|to|be|backed|by|Mr.|Will|Griffiths|,	46
a01-000x-05	./data/lines/a01/a01-000x/a01-000x-05.png	./data/lines/a01/a01-000x/a01-000x-05.pt	173	155	1082	0M P|for|Manchester|Exchange|.	30
a01-003-00	./data/lines/a01/a01-003/a01-003-00.png	./data/lines/a01/a01-003/a01-003-00.pt	176	139	1807	Though|they|may|gather|some|Left-wing|support|,|a	49
a01-003-01	./data/lines/a01/a01-003/a01-003-01.png	./data/lines/a01/a01-003/a01-003-01.pt	176	126	1787	large|majority|of|Labour|M Ps|are|likely|to	43
a01-003-02	./data/lines/a01/a01-003/a01-003-02.png	./data/lines/a01/a01-003/a01-003-02.pt	176	128	1744	turn|down|the|Foot-Griffiths|resolution|.|Mr.	45
a01-003-05	./data/lines/a01/a01-003/a01-003-05.png	./data/lines/a01/a01-003/a01-003-05.pt	176	143	1871	life|peers|into|existence|,|they|should|not	43
a01-003-06	./data/lines/a01/a01-003/a01-003-06.png	./data/lines/a01/a01-003/a01-003-06.pt	176	126	1873	now|put|forward|nominees|.|He|believes	38
a01-003-07	./data/lines/a01/a01-003/a01-003-07.png	./data/lines/a01/a01-003/a01-003-07.pt	161	129	1921	that|the|House|of|Lords|should|be|abolished	43
a01-003-08	./data/lines/a01/a01-003/a01-003-08.png	./data/lines/a01/a01-003/a01-003-08.pt	161	117	1849	and|that|Labour|should|not|take|any|steps	41
a01-003-10	./data/lines/a01/a01-003/a01-003-10.png	./data/lines/a01/a01-003/a01-003-10.pt	161	66	363	institution|.	13
a01-003x-01	./data/lines/a01/a01-003x/a01-003x-01.png	./data/lines/a01/a01-003x/a01-003x-01.pt	176	170	1831	large|majority|of|Labour|0M Ps|are|likely|to|turn	49
a01-003x-04	./data/lines/a01/a01-003x/a01-003x-04.png	./data/lines/a01/a01-003x/a01-003x-04.pt	169	158	1875	ment|Bill|which|brought|life|peers|into|existence|,|they	56
a01-003x-05	./data/lines/a01/a01-003x/a01-003x-05.png	./data/lines/a01/a01-003x/a01-003x-05.pt	176	144	1885	should|not|now|put|forward|nominees|.|He|believes	49
a01-003x-06	./data/lines/a01/a01-003x/a01-003x-06.png	./data/lines/a01/a01-003x/a01-003x-06.pt	176	138	1860	that|the|House|of|Lords|should|be|abolished|and	47
a01-003x-07	./data/lines/a01/a01-003x/a01-003x-07.png	./data/lines/a01/a01-003x/a01-003x-07.pt	168	133	1951	that|Labour|should|not|take|any|steps|which|would	49
a01-003x-08	./data/lines/a01/a01-003x/a01-003x-08.png	./data/lines/a01/a01-003x/a01-003x-08.pt	168	144	1774	appear|to|"|prop|up|"|an|out-dated|institution|.	48
a01-007-00	./data/lines/a01/a01-007/a01-007-00.png	./data/lines/a01/a01-007/a01-007-00.pt	203	97	1494	Since|1958|,|13|Labour|life|Peers|and	37
a01-007-03	./data/lines/a01/a01-007/a01-007-03.png	./data/lines/a01/a01-007/a01-007-03.pt	203	111	1711	of|the|House|of|Lords|,|but|while|it|remains	44
a01-007-04	./data/lines/a01/a01-007/a01-007-04.png	./data/lines/a01/a01-007/a01-007-04.pt	203	133	1717	Labour|has|to|have|an|adequate|number|of	40
a01-007-06	./data/lines/a01/a01-007/a01-007-06.png	./data/lines/a01/a01-007/a01-007-06.pt	203	129	1721	Parties|of|Northern|Rhodesia|have|agreed|to	43
a01-007-07	./data/lines/a01/a01-007/a01-007-07.png	./data/lines/a01/a01-007/a01-007-07.pt	203	135	1662	get|together|to|face|the|challenge|from|Sir	43
