epoch,generator and encoder train error,discriminator train accuracy,generator and encoder val error,discriminator val accuracy
0,334.4471435546875,tensor(0.3750),335.9056701660156,0.40625
1,333.2817077636719,tensor(0.4688),351.64276123046875,0.40625
2,325.9200439453125,tensor(0.5547),336.77947998046875,0.4375
3,326.9892272949219,tensor(0.6016),329.6754455566406,0.53125
4,332.5412292480469,tensor(0.6562),339.25469970703125,0.59375
5,328.80523681640625,tensor(0.6992),329.2645263671875,0.625
6,334.6726989746094,tensor(0.7266),335.1548156738281,0.625
7,331.6268005371094,tensor(0.7578),332.72161865234375,0.625
8,332.15411376953125,tensor(0.7695),342.89617919921875,0.609375
9,329.9460144042969,tensor(0.7773),325.86083984375,0.625
