epoch,generator and encoder train error,discriminator train accuracy,generator and encoder val error,discriminator val accuracy
0,349.0856018066406,0.40234375,371.4835205078125,0.34375
1,346.1085510253906,0.4140625,362.3782653808594,0.296875
2,353.93499755859375,0.40234375,350.5475769042969,0.375
3,357.429931640625,0.41015625,355.0337829589844,0.34375
4,355.92755126953125,0.4765625,368.0505065917969,0.4375
5,358.74652099609375,0.47265625,368.0837707519531,0.5
6,352.2834777832031,0.51171875,366.7978515625,0.546875
7,359.72833251953125,0.5546875,358.02117919921875,0.5
8,352.118896484375,0.6171875,362.2734680175781,0.515625
9,358.2249450683594,0.57421875,359.809814453125,0.515625
10,356.62060546875,0.67578125,370.1560363769531,0.578125
11,355.872802734375,0.64453125,379.1354675292969,0.578125
12,356.89849853515625,0.6640625,361.94580078125,0.578125
13,353.0451354980469,0.6796875,357.2821044921875,0.59375
14,359.6744689941406,0.7109375,356.3052062988281,0.59375
15,354.5445861816406,0.70703125,373.7010803222656,0.59375
16,352.86285400390625,0.734375,369.8045349121094,0.59375
17,358.5492858886719,0.74609375,366.12225341796875,0.578125
18,354.8840637207031,0.7421875,350.4000244140625,0.59375
19,354.336181640625,0.76171875,364.35711669921875,0.578125
20,356.6117858886719,0.76171875,363.9576110839844,0.59375
21,356.2303466796875,0.75390625,363.6282958984375,0.59375
22,355.0196228027344,0.75390625,371.0280456542969,0.625
23,353.0281982421875,0.76953125,370.5094299316406,0.625
24,358.8086242675781,0.76171875,362.8581848144531,0.609375
25,356.3887634277344,0.7734375,383.4065856933594,0.625
26,360.6779479980469,0.77734375,360.26947021484375,0.625
27,358.86224365234375,0.77734375,363.0558166503906,0.625
28,357.4131164550781,0.7734375,372.4555969238281,0.625
29,355.9013977050781,0.76953125,361.9777526855469,0.625
30,350.80859375,0.76953125,354.3788757324219,0.625
31,363.7615966796875,0.78125,360.8616638183594,0.609375
32,356.51629638671875,0.78125,364.2288818359375,0.625
33,357.0890808105469,0.78125,381.0086364746094,0.625
34,348.4508056640625,0.78125,369.2472839355469,0.609375
35,357.16680908203125,0.77734375,364.39794921875,0.625
36,351.37469482421875,0.78125,363.7155456542969,0.625
37,352.1443786621094,0.77734375,356.8712463378906,0.625
38,354.2640075683594,0.78125,366.481689453125,0.625
39,356.51434326171875,0.77734375,363.7998046875,0.625
40,362.5961608886719,0.77734375,397.2591552734375,0.625
41,368.47955322265625,0.78125,371.4849548339844,0.625
42,384.2255554199219,0.78125,374.6714782714844,0.625
43,377.63250732421875,0.78125,385.9242248535156,0.625
44,377.515380859375,0.78125,389.75390625,0.625
45,382.1441650390625,0.78125,393.0136413574219,0.625
46,373.99713134765625,0.77734375,383.14239501953125,0.625
47,368.85546875,0.78125,399.18701171875,0.625
48,369.6197814941406,0.78125,376.3567199707031,0.625
49,373.9944152832031,0.78125,388.143798828125,0.625
50,383.541748046875,0.78125,398.1773681640625,0.625
51,369.3575439453125,0.78125,381.6405029296875,0.625
52,367.67987060546875,0.78125,376.8249816894531,0.625
53,363.3926696777344,0.78125,387.0796813964844,0.625
54,373.7394104003906,0.78125,381.8854675292969,0.625
55,382.0470886230469,0.78125,386.38043212890625,0.625
56,370.4368591308594,0.77734375,409.6173400878906,0.625
57,380.7327880859375,0.78125,397.60455322265625,0.625
58,381.1145935058594,0.78125,388.5841979980469,0.625
59,377.16595458984375,0.78125,376.7887878417969,0.625
60,387.8333740234375,0.78125,399.432373046875,0.625
61,386.3005065917969,0.77734375,394.5359191894531,0.625
62,381.4821472167969,0.78125,396.06561279296875,0.625
63,392.1603088378906,0.78125,402.7294616699219,0.625
64,383.23193359375,0.78125,381.0322570800781,0.625
65,389.0069885253906,0.78125,393.03436279296875,0.625
66,375.6207580566406,0.78125,398.28680419921875,0.625
67,393.0339050292969,0.78125,393.5755310058594,0.625
68,375.9512023925781,0.78125,392.16070556640625,0.625
69,381.6313171386719,0.78125,396.3224182128906,0.625
70,381.367431640625,0.78125,372.3501281738281,0.625
71,391.2272644042969,0.78125,408.5826416015625,0.625
72,385.2552185058594,0.77734375,398.30426025390625,0.625
73,382.269287109375,0.78125,394.7867736816406,0.625
74,387.0578918457031,0.78125,397.9913635253906,0.625
75,395.66009521484375,0.78125,405.7994689941406,0.625
76,378.93707275390625,0.78125,411.53826904296875,0.625
77,383.721435546875,0.78125,376.5235595703125,0.625
78,372.4903564453125,0.78125,425.30560302734375,0.625
79,382.4176330566406,0.77734375,396.5965576171875,0.625
80,393.2991027832031,0.78125,400.70098876953125,0.625
81,390.88214111328125,0.78125,396.76605224609375,0.625
82,389.6171569824219,0.78125,389.3646240234375,0.625
83,382.148193359375,0.78125,397.7950134277344,0.625
84,382.9442138671875,0.78125,378.05120849609375,0.625
85,380.88873291015625,0.78125,395.0195617675781,0.625
86,379.4761962890625,0.78125,393.1167907714844,0.625
87,384.69268798828125,0.78125,387.4979248046875,0.625
88,390.93878173828125,0.78125,392.3475036621094,0.625
89,387.7120056152344,0.78125,411.5565185546875,0.625
90,378.2085266113281,0.78125,383.0036926269531,0.625
91,379.91986083984375,0.78125,392.54278564453125,0.625
92,373.5484619140625,0.78125,371.7931213378906,0.625
93,369.3699951171875,0.78125,360.66827392578125,0.625
94,373.5354309082031,0.78125,384.6888732910156,0.625
95,378.6602783203125,0.78125,377.6324462890625,0.625
96,375.5799255371094,0.78125,385.925048828125,0.625
97,373.74725341796875,0.78125,375.527099609375,0.625
98,365.8920593261719,0.78125,370.477783203125,0.625
99,369.12347412109375,0.78125,418.27972412109375,0.625
