epoch,generator and encoder train error,discriminator train accuracy,generator and encoder val error,discriminator val accuracy
0,330.9188537597656,0.3828125,319.2842102050781,0.375
1,322.13153076171875,0.37890625,326.5187683105469,0.37109375
2,325.7465515136719,0.37890625,322.2916259765625,0.3984375
3,325.5146789550781,0.390625,322.6513671875,0.4296875
4,320.2688293457031,0.41015625,329.4809875488281,0.40625
5,322.6826171875,0.4140625,328.4552917480469,0.4453125
6,324.6520080566406,0.46875,328.3766784667969,0.4921875
7,320.32122802734375,0.58984375,327.6002502441406,0.546875
8,317.69964599609375,0.56640625,329.4159851074219,0.5625
9,322.47503662109375,0.5859375,325.67120361328125,0.6015625
