epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,347.5577697753906,0.5,tensor(1.8414),366.8768615722656,0.5,tensor(0.9512)
1,358.8521728515625,0.5,tensor(2.0446),347.7307434082031,0.55,tensor(0.9798)
2,359.04498291015625,0.5,tensor(2.0680),359.27069091796875,0.5,tensor(1.0051)
3,365.3401184082031,0.4,tensor(2.1503),358.4546203613281,0.6499999999999999,tensor(0.9377)
4,350.5828552246094,0.55,tensor(1.7888),365.7034606933594,0.7,tensor(0.9539)
5,359.76861572265625,0.55,tensor(2.0693),359.3189697265625,0.44999999999999996,tensor(1.0696)
6,363.7279052734375,0.6,tensor(1.9301),362.9379577636719,0.55,tensor(0.9106)
7,355.6201171875,0.55,tensor(2.1838),364.90087890625,0.6499999999999999,tensor(1.0518)
8,353.5337829589844,0.70000005,tensor(1.8468),350.1455993652344,0.7,tensor(0.9163)
9,354.4168395996094,0.70000005,tensor(1.8611),363.2998352050781,0.6499999999999999,tensor(0.9690)
