epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,334.0326843261719,0.3125,tensor(1.5091),332.3055114746094,0.38461538461538464,tensor(1.2201)
1,326.3468017578125,0.25,tensor(1.3384),326.9311218261719,0.38461538461538464,tensor(1.2007)
2,319.00775146484375,0.4375,tensor(1.3314),322.5773010253906,0.34615384615384615,tensor(1.1727)
3,327.8365783691406,0.375,tensor(1.2523),324.8448181152344,0.4230769230769231,tensor(1.2325)
4,326.2906799316406,0.375,tensor(1.3902),322.5674133300781,0.4807692307692308,tensor(1.2043)
5,323.7763671875,0.3125,tensor(1.3969),322.167724609375,0.46153846153846156,tensor(1.1654)
6,316.7160949707031,0.375,tensor(1.2981),328.99371337890625,0.4423076923076923,tensor(1.1451)
7,326.739501953125,0.25,tensor(1.7116),334.0876770019531,0.5384615384615384,tensor(1.2682)
8,324.6283874511719,0.625,tensor(1.3622),328.8216247558594,0.5576923076923077,tensor(1.2687)
9,329.4129638671875,0.5625,tensor(1.3713),321.9771728515625,0.5192307692307693,tensor(1.1945)
